video_id,title,published_at,duration_seconds,type,views,likes,comments,favourites,impression_count,click_through_rate,average_view_duration,average_view_percentage,shares,subscribers_gained,revenue,tags,description_length,category_id
xgO7vBz0tak,Trade War Tweet Erased $3 Trillion in 60 Seconds,2026-03-14T12:19:40Z,62,Long-form,2,0,0,0,0,0.0,0.0,0.0,0,0,,"#Shorts,#buildwealth,#economiccrisis,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#marketcrash,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#stockmarket,#wealthbuilding",302,22
vad-YBIOKqI,Your 401k Could Lose 50% in This Wealth Rotation,2026-03-14T12:14:50Z,49,Short,0,0,0,0,0,0.0,0.0,0.0,0,0,,"#RetirementPlanning,#Shorts,#StockMarket,#WealthRotation,#buildwealth,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#wealthbuilding",296,22
lO6673qhfiw,Your 401k Lost $30k Overnight (Here's Why),2026-03-14T12:14:34Z,43,Short,2,0,0,0,0,0.0,0.0,0.0,0,0,,"#EconomicNews,#RetirementPlanning,#Shorts,#StockMarket,#buildwealth,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#wealthbuilding",311,22
3VYKqmlwATo,Your 401k Is Getting Destroyed By This Market Rotation,2026-03-14T12:09:14Z,48,Short,0,0,0,0,0,0.0,0.0,0.0,0,0,,"#PortfolioManagement,#RetirementPlanning,#Shorts,#StockMarket,#buildwealth,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#wealthbuilding",297,22
YFqGcS4Tm84,The $70 Trillion Wealth Transfer Happening Now,2026-03-14T12:09:04Z,53,Short,4,0,0,0,0,0.0,0.0,0.0,0,0,,"#AssetBuilding,#PassiveIncome,#Shorts,#WealthTransfer,#buildwealth,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#wealthbuilding",317,22
glqXqXCfOi0,Why Saving Money Keeps You Poor (The Truth),2026-03-10T18:15:19Z,43,Short,335,7,1,0,0,0.0,38.0,90.46,0,0,,"#Shorts,#buildwealth,#financetok,#financialfreedom,#financialtips,#inflation,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#savingmoney,#wealthbuilding,#wealthtips",299,22
3uigAgRmS0s,The Real Reason You'll Never Get a Raise,2026-03-10T17:41:58Z,52,Short,878,17,1,0,0,0.0,207.0,399.96,0,0,,"#Shorts,#buildwealth,#careeradvice,#careergrowth,#financetok,#financialfreedom,#financialtips,#investing,#moneyadvice,#moneymindset,#moneytips,#personalfinance,#salarynegotiation,#wealthbuilding,#worklife",304,22
BLVbd0P84OY,Why Your Salary Will Never Make You Rich,2026-03-10T16:49:22Z,47,Short,988,12,2,0,0,0.0,31.0,66.86,0,0,,"#Shorts,#buildwealth,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#lifestyleinflation,#moneyadvice,#moneymindset,#moneymistakes,#moneytips,#personalfinance,#salarylife,#wealthbuilding",318,22
MiMHHcgEOQ8,Why Your Boss Will Always Be Richer Than You,2026-03-10T15:07:15Z,47,Short,469,7,6,0,0,0.0,27.0,59.23,1,1,,"#Shorts,#buildwealth,#financetok,#financialeducation,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#passiveincome,#personalfinance,#wealthbuilding,#wealthmindset",304,22
EZCYwrvpues,Why Your Boss Will Always Be Richer Than You,2026-03-10T12:20:25Z,48,Short,642,8,1,0,0,0.0,26.0,56.13,0,3,,"#Shorts,#buildwealth,#entrepreneur,#financetok,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#motivation,#passiveincome,#personalfinance,#wealthbuilding",321,22
Bww6p9zNrO4,Why Your Salary Will Never Make You Rich,2026-03-09T18:57:34Z,18,Short,740,4,2,0,0,0.0,15.0,88.79,0,0,,"#Shorts,#buildwealth,#financetok,#financialeducation,#financialfreedom,#financialtips,#investing,#investingforbeginners,#moneyadvice,#moneymindset,#moneytips,#passiveincome,#personalfinance,#wealthbuilding,#wealthmindset",308,22
SXToG9u4AoE,Hard Work Doesn't Make You Rich. This Does.,2026-03-08T21:51:23Z,14,Short,126,0,1,0,0,0.0,12.0,88.75,0,0,,"#Shorts,#businesstips,#entrepreneur,#financialfreedom,#financialtips,#investing,#millionairemindset,#moneymindset,#motivation,#passiveincome,#richmindset,#sidehustle,#success,#wealth,#wealthbuilding",122,22
